[0mPOST /api/auth/super-admin [32m200[0m 409.514 ms - 677[0m
POST /api/auth/logout 200 52 - 297.935 ms
POST /api/auth/school 200 783 - 378.554 ms
GET /api/school-admin/ee20bd32-c539-4489-ae22-ce35c4b24a7b/card-requests 200 - - 307.826 ms
GET /api/school-admin/ee20bd32-c539-4489-ae22-ce35c4b24a7b/card-requests?status=PENDING 200 - - 193.375 ms
GET /api/school-admin/ee20bd32-c539-4489-ae22-ce35c4b24a7b/card-requests?status=APPROVED 200 951 - 147.463 ms
GET /api/school-admin/ee20bd32-c539-4489-ae22-ce35c4b24a7b/card-requests?status=REJECTED 200 188 - 140.208 ms
GET /api/school-admin/ee20bd32-c539-4489-ae22-ce35c4b24a7b/card-requests?search=ORD-2025 200 188 - 167.845 ms
GET /api/school-admin/ee20bd32-c539-4489-ae22-ce35c4b24a7b/card-requests?page=2&limit=5 200 186 - 144.418 ms
POST /api/school-admin/ee20bd32-c539-4489-ae22-ce35c4b24a7b/card-requests 201 224 - 256.465 ms
POST /api/school-admin/ee20bd32-c539-4489-ae22-ce35c4b24a7b/card-requests 201 223 - 261.335 ms
GET /api/school-admin/ee20bd32-c539-4489-ae22-ce35c4b24a7b/card-requests 401 - - 1.766 ms
GET /api/school-admin/00000000-0000-4000-a000-000000000000/card-requests 403 86 - 139.058 ms
GET /api/school-admin/ee20bd32-c539-4489-ae22-ce35c4b24a8b/card-requests 403 86 - 134.854 ms
POST /api/school-admin/ee20bd32-c539-4489-ae22-ce35c4b24a7b/card-requests 400 101 - 139.874 ms
POST /api/school-admin/ee20bd32-c539-4489-ae22-ce35c4b24a7b/card-requests 400 110 - 139.121 ms
POST /api/school-admin/ee20bd32-c539-4489-ae22-ce35c4b24a7b/card-requests 400 104 - 137.387 ms
POST /api/school-admin/ee20bd32-c539-4489-ae22-ce35c4b24a7b/card-requests 400 551 - 142.044 ms
GET /api/school-admin/ee20bd32-c539-4489-ae22-ce35c4b24a7b/tokens 200 - - 298.320 ms
GET /api/school-admin/ee20bd32-c539-4489-ae22-ce35c4b24a7b/tokens?status=ACTIVE 200 229 - 213.938 ms
GET /api/school-admin/ee20bd32-c539-4489-ae22-ce35c4b24a7b/tokens?status=UNASSIGNED 200 229 - 193.053 ms
GET /api/school-admin/ee20bd32-c539-4489-ae22-ce35c4b24a7b/tokens?status=EXPIRED 200 229 - 186.858 ms
GET /api/school-admin/ee20bd32-c539-4489-ae22-ce35c4b24a7b/tokens?status=REVOKED 200 229 - 193.784 ms
GET /api/school-admin/ee20bd32-c539-4489-ae22-ce35c4b24a7b/tokens?search=a3f 200 229 - 208.236 ms
GET /api/school-admin/ee20bd32-c539-4489-ae22-ce35c4b24a7b/tokens?search=aarav 200 229 - 185.641 ms
GET /api/school-admin/ee20bd32-c539-4489-ae22-ce35c4b24a7b/tokens?status=ACTIVE&search=sharma 200 229 - 187.524 ms
GET /api/school-admin/ee20bd32-c539-4489-ae22-ce35c4b24a7b/tokens?page=2&limit=12 200 - - 204.071 ms
GET /api/school-admin/ee20bd32-c539-4489-ae22-ce35c4b24a7b/tokens?limit=100 200 - - 340.731 ms
GET /api/school-admin/ee20bd32-c539-4489-ae22-ce35c4b24a7b/tokens 200 - - 193.236 ms
GET /api/school-admin/ee20bd32-c539-4489-ae22-ce35c4b24a7b/tokens 401 - - 1.900 ms
GET /api/school-admin/ee20bd32-c539-4489-ae22-ce35c4b24a8b/tokens 403 86 - 139.068 ms
GET /api/school-admin/00000000-0000-4000-a000-000000000000/tokens 403 86 - 140.101 ms
GET /api/school-admin/ee20bd32-c539-4489-ae22-ce35c4b24a7b/tokens?status=INVALID 400 181 - 139.765 ms
GET /api/school-admin/ee20bd32-c539-4489-ae22-ce35c4b24a7b/tokens?limit=500 400 103 - 140.922 ms
GET /api/school-admin/ee20bd32-c539-4489-ae22-ce35c4b24a7b/qr 200 322 - 230.409 ms
GET /api/school-admin/ee20bd32-c539-4489-ae22-ce35c4b24a7b/qr?filter=ready 200 133 - 162.960 ms
GET /api/school-admin/ee20bd32-c539-4489-ae22-ce35c4b24a7b/qr?filter=no_token 200 322 - 142.993 ms
GET /api/school-admin/ee20bd32-c539-4489-ae22-ce35c4b24a7b/qr?search=aarav 200 133 - 131.206 ms
GET /api/school-admin/ee20bd32-c539-4489-ae22-ce35c4b24a7b/qr?search=class+9 200 133 - 119.695 ms
GET /api/school-admin/ee20bd32-c539-4489-ae22-ce35c4b24a7b/qr?search=sharma&filter=ready 200 133 - 120.674 ms
GET /api/school-admin/ee20bd32-c539-4489-ae22-ce35c4b24a7b/qr?page=2&limit=10 200 132 - 125.834 ms
GET /api/school-admin/ee20bd32-c539-4489-ae22-ce35c4b24a7b/qr/cdc6ca0f-56d2-4fac-97e7-34406a671827 200 183 - 196.539 ms
GET /api/school-admin/ee20bd32-c539-4489-ae22-ce35c4b24a7b/qr/cdc6ca0f-56d2-4fac-97e7-34406a671827 200 183 - 155.207 ms
GET /api/school-admin/ee20bd32-c539-4489-ae22-ce35c4b24a7b/qr/PASTE_NO_TOKEN_STUDENT_UUID_HERE 400 104 - 117.106 ms
POST /api/school-admin/ee20bd32-c539-4489-ae22-ce35c4b24a7b/qr/cdc6ca0f-56d2-4fac-97e7-34406a671827/assign 409 117 - 165.926 ms
POST /api/school-admin/ee20bd32-c539-4489-ae22-ce35c4b24a7b/qr/cdc6ca0f-56d2-4fac-97e7-34406a671827/assign 400 102 - 117.997 ms
POST /api/school-admin/ee20bd32-c539-4489-ae22-ce35c4b24a7b/qr/PASTE_STUDENT_WITH_TOKEN_UUID_HERE/assign 400 104 - 118.799 ms
POST /api/school-admin/ee20bd32-c539-4489-ae22-ce35c4b24a7b/qr/cdc6ca0f-56d2-4fac-97e7-34406a671827/assign 400 102 - 123.269 ms
GET /api/school-admin/ee20bd32-c539-4489-ae22-ce35c4b24a7b/qr 401 - - 2.810 ms
GET /api/school-admin/ee20bd32-c539-4489-ae22-ce35c4b24a7b/qr?filter=INVALID 400 130 - 124.897 ms
POST /api/auth/otp/send 404 159 - 25.970 ms
POST /api/auth/send-otp 200 93 - 113.161 ms
POST /api/auth/send-otp 200 93 - 109.695 ms
POST /api/auth/send-otp 200 93 - 114.911 ms
POST /api/auth/verify-otp 200 637 - 235.191 ms
GET /api/parents/me 200 224 - 480.447 ms
GET /api/parents/me 200 224 - 192.561 ms
GET /api/parents/me/scans?limit=20 200 85 - 162.782 ms
GET /api/parents/me/scans?filter=emergency&limit=20 200 85 - 164.654 ms
GET /api/parents/me/scans?cursor=PASTE_NEXT_CURSOR_HERE&limit=20 200 85 - 149.026 ms
GET /api/parents/me/scans?filter=flagged&limit=20 200 85 - 147.513 ms
PATCH /api/parents/me/profile 403 95 - 147.422 ms
PATCH /api/parents/me/profile 403 95 - 150.215 ms
PATCH /api/parents/me/profile 400 115 - 145.381 ms
PATCH /api/parents/me/visibility 403 82 - 279.423 ms
PATCH /api/parents/me/visibility 403 82 - 149.433 ms
PATCH /api/parents/me/visibility 403 82 - 148.948 ms
PATCH /api/parents/me/visibility 400 137 - 145.948 ms
PATCH /api/parents/me/notifications 500 74 - 152.426 ms
PATCH /api/parents/me/location-consent 403 82 - 145.987 ms
PATCH /api/parents/me/location-consent 403 82 - 142.338 ms
POST /api/parents/me/lock-card 403 82 - 144.807 ms
POST /api/parents/me/lock-card 400 106 - 142.575 ms
POST /api/parents/me/request-replace 403 82 - 143.951 ms
GET /api/parents/me 401 - - 2.261 ms
GET /api/parents/me 401 - - 0.864 ms
DELETE /api/parents/me 200 44 - 205.339 ms
POST /api/auth/super-admin 200 677 - 360.178 ms
POST /api/auth/logout 200 52 - 280.840 ms
POST /api/auth/school 200 783 - 401.517 ms
POST /api/school-admin/cce48715-2927-4ffe-94c8-ccd2024d1c32/card-requests 201 224 - 277.137 ms
